MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,NM,배포처
서울특별시,11,영등포구,11560,193232,446951,신한금융투자(주),biz-gis.com
충청남도,44,아산시,44200,199901,364639,경남기업(주),biz-gis.com
서울특별시,11,강서구,11500,188656,449476,서울도시가스(주),biz-gis.com
서울특별시,11,영등포구,11560,190409,447298,(주)코스트코코리아,biz-gis.com
서울특별시,11,강남구,11680,203017,444168,한솔제지(주),biz-gis.com
서울특별시,11,강남구,11680,204915,445104,(주)아이마켓코리아,biz-gis.com
경상남도,48,창원시 성산구,48123,346087,190716,포스코특수강(주),biz-gis.com
서울특별시,11,중구,11140,197614,450801,(주)세아제강,biz-gis.com
서울특별시,11,강남구,11680,203017,444168,한솔테크닉스(주),biz-gis.com
서울특별시,11,중구,11140,200703,451832,(주)두산,biz-gis.com
서울특별시,11,중구,11140,198301,450781,우리금융지주(주),biz-gis.com
서울특별시,11,강남구,11680,202744,443087,푸르덴셜생명보험(주),biz-gis.com
충청남도,44,공주시,44150,196995,339079,웅진코웨이(주),biz-gis.com
서울특별시,11,용산구,11170,200600,447832,희성전자(주),biz-gis.com
서울특별시,11,송파구,11710,208993,445826,한라건설(주),biz-gis.com
서울특별시,11,서초구,11650,200578,445243,(주)이랜드리테일,biz-gis.com
서울특별시,11,영등포구,11560,193018,446708,한국쓰리엠(주),biz-gis.com
경기도,41,성남시 분당구,41135,209376,429349,에스케이씨앤씨(주),biz-gis.com
경기도,41,수원시 영통구,41117,204385,416586,삼성전자로지텍(주),biz-gis.com
경기도,41,수원시 장안구,41111,198661,422373,에스케이씨(주),biz-gis.com
서울특별시,11,영등포구,11560,193192,446919,(주)범한판토스,biz-gis.com
서울특별시,11,중구,11140,200489,450494,(주)호텔신라,biz-gis.com
경기도,41,화성시,41590,206706,407196,(주)디에스,biz-gis.com
경기도,41,성남시 분당구,41135,212930,429299,한국지역난방공사,biz-gis.com
인천광역시,28,부평구,28237,174689,446668,동서식품(주),biz-gis.com
서울특별시,11,영등포구,11560,190463,448354,롯데제과(주),biz-gis.com
경기도,41,안양시 동안구,41173,195260,430043,엘에스산전(주),biz-gis.com
서울특별시,11,강남구,11680,203229,444415,(주)지에스글로벌,biz-gis.com
경기도,41,고양시 일산동구,41285,179868,461402,(주)태영건설,biz-gis.com
인천광역시,28,연수구,28185,169350,431202,벽산건설(주),biz-gis.com
경기도,41,성남시 분당구,41135,209572,433414,에스케이케미칼(주),biz-gis.com
광주광역시,29,북구,29170,186665,192566,앰코테크놀로지코리아(주),biz-gis.com
서울특별시,11,서초구,11650,199371,443987,이수화학(주),biz-gis.com
경기도,41,성남시 중원구,41133,214840,437104,(주)파리크라상,biz-gis.com
경기도,41,성남시 분당구,41135,209250,428612,엔에이치엔(주),biz-gis.com
서울특별시,11,강남구,11680,206655,444121,대한도시가스(주),biz-gis.com
경기도,41,수원시 영통구,41117,204740,417845,삼성엘이디(주),biz-gis.com
서울특별시,11,서초구,11650,202004,443716,롯데칠성음료(주),biz-gis.com
서울특별시,11,서초구,11650,201639,445762,(주)케이씨씨건설,biz-gis.com
인천광역시,28,중구,28110,152254,437752,인천국제공항공사,biz-gis.com
울산광역시,31,북구,31200,414505,231449,(주)경동도시가스,biz-gis.com
서울특별시,11,중구,11140,198889,451417,(주)대우일렉트로닉스,biz-gis.com
경상남도,48,창원시 성산구,48123,345803,190838,에스티엑스중공업(주),biz-gis.com
서울특별시,11,종로구,11110,198200,451926,에스케이(주),biz-gis.com
경상남도,48,사천시,48240,297027,175877,한국항공우주산업(주),biz-gis.com
서울특별시,11,중구,11140,197831,450795,롯데카드(주),biz-gis.com
충청남도,44,아산시,44200,201702,372604,태산엘시디(주),biz-gis.com
서울특별시,11,강남구,11680,205340,445356,텍사스인스트루먼트코리아(주),biz-gis.com
서울특별시,11,중구,11140,198343,451570,(주)하나금융지주,biz-gis.com
대전광역시,30,서구,30170,232566,317362,계룡건설산업(주),biz-gis.com
서울특별시,11,서초구,11650,203722,440212,현대엠코(주),biz-gis.com
서울특별시,11,양천구,11470,188952,447336,현대엔지니어링(주),biz-gis.com
서울특별시,11,강남구,11680,204600,443009,한국아이비엠(주),biz-gis.com
경상남도,48,창원시 성산구,48123,351660,190315,에스티엑스엔진(주),biz-gis.com
서울특별시,11,강남구,11680,205005,444928,유한킴벌리(주),biz-gis.com
서울특별시,11,동대문구,11230,202236,452403,대상(주),biz-gis.com
인천광역시,28,중구,28110,165066,441769,대한제당(주),biz-gis.com
충청남도,44,서산시,44210,153202,370622,현대다이모스(주),biz-gis.com
서울특별시,11,영등포구,11560,190120,446513,(주)하이프라자,biz-gis.com
서울특별시,11,서초구,11650,201670,445667,(주)한국야쿠르트,biz-gis.com
경상북도,47,구미시,47190,326740,290658,도레이첨단소재(주),biz-gis.com
서울특별시,11,중구,11140,199143,451041,남해화학(주),biz-gis.com
울산광역시,31,남구,31140,414315,228197,삼성정밀화학(주),biz-gis.com
서울특별시,11,중구,11140,197621,450356,메르세데스벤츠코리아(주),biz-gis.com
서울특별시,11,강남구,11680,204850,445281,(주)휴비스,biz-gis.com
서울특별시,11,강남구,11680,202476,443917,(주)아워홈,biz-gis.com
광주광역시,29,동구,29110,191972,183975,(주)광주은행,biz-gis.com
경기도,41,과천시,41290,199110,435925,코오롱건설(주),biz-gis.com
서울특별시,11,강남구,11680,202945,447309,(주)엘지패션,biz-gis.com
서울특별시,11,영등포구,11560,193341,446813,폴리미래(주),biz-gis.com
전라남도,46,여수시,46130,259788,146410,금호피앤비화학(주),biz-gis.com
서울특별시,11,성동구,11200,205003,450894,(주)예스코,biz-gis.com
서울특별시,11,영등포구,11560,192943,447208,산은금융지주(주),biz-gis.com
서울특별시,11,강남구,11680,202973,446342,비엠더블유코리아(주),biz-gis.com
서울특별시,11,강남구,11680,205508,445061,세아상역(주),biz-gis.com
서울특별시,11,금천구,11545,189306,442224,(주)히타치엘지데이터스토리지코리아,biz-gis.com
서울특별시,11,중구,11140,198298,451195,(주)한진,biz-gis.com
서울특별시,11,강남구,11680,204201,444716,그린손해보험(주),biz-gis.com
서울특별시,11,중구,11140,198748,451681,한화엘앤씨(주),biz-gis.com
경상남도,48,양산시,48330,385532,210117,넥센타이어(주),biz-gis.com
인천광역시,28,남동구,28200,173878,438711,(주)한양,biz-gis.com
서울특별시,11,강동구,11740,210567,447404,(주)농협사료,biz-gis.com
서울특별시,11,강남구,11680,202724,444055,풍림산업(주),biz-gis.com
서울특별시,11,서초구,11650,203811,440090,(주)농협유통,biz-gis.com
경기도,41,화성시,41590,200226,409848,일진전기(주),biz-gis.com
서울특별시,11,용산구,11170,196060,447733,케이비생명보험(주),biz-gis.com
서울특별시,11,영등포구,11560,193608,446652,메리츠종합금융증권(주),biz-gis.com
서울특별시,11,중구,11140,199079,451355,쌍용양회공업(주),biz-gis.com
경기도,41,수원시 권선구,41113,202613,417564,(주)동양건설산업,biz-gis.com
경기도,41,성남시 분당구,41135,210296,430972,(주)서희건설,biz-gis.com
경상북도,47,구미시,47190,326143,291512,(주)엘지실트론,biz-gis.com
서울특별시,11,중구,11140,198432,451742,남양유업(주),biz-gis.com
서울특별시,11,강남구,11680,204951,446611,하이트맥주(주),biz-gis.com
서울특별시,11,영등포구,11560,193684,446607,한국증권금융(주),biz-gis.com
서울특별시,11,서초구,11650,203827,441731,(주)동원에프앤비,biz-gis.com
경기도,41,용인시 처인구,41461,232912,408500,한신공영(주),biz-gis.com
서울특별시,11,금천구,11545,189022,442387,코오롱아이넷(주),biz-gis.com
경상북도,47,포항시 남구,47111,412977,279120,포스코강판(주),biz-gis.com
경상남도,48,사천시,48240,294965,173051,에스피피조선(주),biz-gis.com
대구광역시,27,달성군,27710,331317,249403,한국델파이(주),biz-gis.com
인천광역시,28,남동구,28200,173847,439007,신동아건설(주),biz-gis.com
경상남도,48,창원시 성산구,48123,355058,188881,두산디에스티(주),biz-gis.com
서울특별시,11,서초구,11650,198403,442513,소니코리아(주),biz-gis.com
경상남도,48,창원시 성산구,48123,350941,192653,에스티엑스메탈(주),biz-gis.com
부산광역시,26,수영구,26500,392249,184103,(주)부산도시가스,biz-gis.com
서울특별시,11,종로구,11110,198885,452766,삼환기업(주),biz-gis.com
경기도,41,용인시 기흥구,41463,208691,416627,씨제이프레시웨이(주),biz-gis.com
서울특별시,11,강남구,11680,202744,443087,엘아이지넥스원(주),biz-gis.com
경기도,41,군포시,41410,196253,427710,(주)케피코,biz-gis.com
서울특별시,11,금천구,11545,190320,440244,롯데알미늄(주),biz-gis.com
서울특별시,11,종로구,11110,198627,452310,(주)카프로,biz-gis.com
부산광역시,26,북구,26320,382490,192435,(주)서원유통,biz-gis.com
서울특별시,11,강남구,11680,203229,444415,(주)지에스,biz-gis.com
경기도,41,안양시 동안구,41173,195260,430043,엘에스엠트론(주),biz-gis.com
경상북도,47,구미시,47190,322977,289145,웅진케미칼(주),biz-gis.com
서울특별시,11,종로구,11110,198951,452725,매일유업(주),biz-gis.com
서울특별시,11,마포구,11440,193875,449734,(주)이랜드월드,biz-gis.com
충청북도,43,음성군,43770,241564,383927,(주)삼동,biz-gis.com
서울특별시,11,종로구,11110,198286,451901,케이파워(주),biz-gis.com
경기도,41,과천시,41290,199110,435925,코오롱글로텍(주),biz-gis.com
서울특별시,11,동작구,11590,193206,443168,녹십자생명보험(주),biz-gis.com
서울특별시,11,중구,11140,197610,451031,(주)부영주택,biz-gis.com
대구광역시,27,북구,27230,342966,266498,(주)티케이케미칼,biz-gis.com
서울특별시,11,강남구,11680,202901,444137,포스코파워(주),biz-gis.com
경상남도,48,창원시 성산구,48123,349112,191987,한국철강(주),biz-gis.com
서울특별시,11,강남구,11680,201882,445370,(주)영풍,biz-gis.com
서울특별시,11,중구,11140,197631,450219,라이나생명보험(주),biz-gis.com
서울특별시,11,중구,11140,197536,450785,롯데로지스틱스(주),biz-gis.com
서울특별시,11,강남구,11680,202486,447498,(주)현대백화점,biz-gis.com
