MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권,배포처
충청남도,44,4420,아산시,319750,472350,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4420,아산시,317550,475150,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
충청남도,44,4420,아산시,315550,466950,16,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4717,안동시,483650,418850,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4717,안동시,472750,455650,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4717,안동시,484950,446250,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4717,안동시,454750,441950,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상북도,47,4717,안동시,445450,439550,23,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4127,안산시,274650,516650,62,0,0,0,0,0,0,0,0,31,0,GIS United INC.,biz-gis.com
경기도,41,4127,안산시,297950,522950,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4155,안성시,334550,499350,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4155,안성시,342650,489150,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4155,안성시,322750,493450,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4155,안성시,344250,499350,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
강원도,42,4280,양구군,412150,631350,18,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4833,양산시,488850,306150,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4163,양주시,307750,580050,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4163,양주시,312850,585650,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경기도,41,4173,여주군,374450,514950,31,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
경상남도,48,4873,함안군,439750,290250,20,0,0,0,0,0,0,0,0,0,0,GIS United INC.,biz-gis.com
