,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O
11223,서울특별시,11,송파구,11710,319550,545050,88.22226,0.0,7.35186,33.08334,33.08334,11.02779,3.67593,0.0,0.0
11224,서울특별시,11,관악구,11620,306650,542750,420.02921,0.0,85.50133,138.30073,95.55526,52.45536,38.97354,9.24299,0.0
11225,서울특별시,11,동작구,11590,307350,544950,67.44485,0.0,17.24833,10.30881,22.86498,9.74006,7.28267,0.0,0.0
11226,서울특별시,11,구로구,11530,297750,542950,1.55368,0.0,0.0,0.0,1.55368,0.0,0.0,0.0,0.0
11227,서울특별시,11,강동구,11740,323650,547050,388.82799,0.0,64.21128,138.19026,90.00589,90.33311,6.08745,0.0,0.0
11228,서울특별시,11,서대문구,11410,308750,551550,1181.0563,0.0,265.83081,608.08383,232.17558,35.51204,35.84782,3.53287,0.07335
11229,서울특별시,11,강서구,11500,295450,552250,30.58282,0.0,5.81077,13.35428,6.63193,4.13938,0.0,0.64646,0.0
11230,서울특별시,11,서대문구,11410,305950,551250,32.62327,0.10896,11.66157,10.82213,6.14284,2.04123,1.68338,0.14969,0.01347
11231,서울특별시,11,종로구,11110,310250,553650,5.75308,0.0,1.5132,2.2515,1.2866,0.43862,0.21197,0.04387,0.00732
11232,서울특별시,11,구로구,11530,302050,545150,357.76012,0.0,70.37904,164.21776,64.51412,49.85182,8.79738,0.0,0.0
11233,서울특별시,11,종로구,11110,310550,553250,193.07718,0.0,40.93417,47.36056,42.99911,33.82736,22.05629,5.8572,0.04249
11234,서울특별시,11,양천구,11470,297050,546250,20.51994,0.0,0.0,10.25997,0.0,10.25997,0.0,0.0,0.0
11235,서울특별시,11,송파구,11710,322050,544550,106.77108,0.0,24.34092,42.70099,35.27564,4.45353,0.0,0.0,0.0
11236,서울특별시,11,서초구,11650,318950,540050,0.64023,0.0,0.08003,0.23416,0.19265,0.09485,0.02668,0.01186,0.0
11237,서울특별시,11,강서구,11500,293850,553150,1.58466,0.0,1.58466,0.0,0.0,0.0,0.0,0.0,0.0
11238,서울특별시,11,노원구,11350,318550,562350,199.89668,0.0,19.39455,48.82584,81.32571,40.48383,9.86675,0.0,0.0
11239,서울특별시,11,송파구,11710,322250,548350,95.82482,0.0,0.0,32.04878,31.72726,0.64304,15.70287,15.70287,0.0
11240,서울특별시,11,관악구,11620,305750,541150,13.40073,0.0,2.25906,4.85744,4.62534,0.98387,0.67502,0.0,0.0
11241,서울특별시,11,송파구,11710,323050,545050,81.00001,0.0,20.86366,28.22726,20.86365,9.81817,1.22727,0.0,0.0
11242,서울특별시,11,강남구,11680,314850,545650,37.84253,0.0,14.85173,17.5368,2.68507,1.4264,1.34253,0.0,0.0
11243,서울특별시,11,서대문구,11410,305350,551950,14.87513,0.0,2.12502,6.37506,0.0,6.37505,0.0,0.0,0.0
11244,서울특별시,11,도봉구,11320,315450,562750,4.91548,0.0,0.0,0.0,2.45774,2.45774,0.0,0.0,0.0
11245,서울특별시,11,구로구,11530,299150,544750,174.76974,0.02366,16.53498,51.15375,73.88931,30.01955,3.06556,0.08293,0.0
11246,서울특별시,11,송파구,11710,320750,544750,14.28571,0.0,0.0,2.85714,11.42857,0.0,0.0,0.0,0.0
11247,서울특별시,11,동작구,11590,306550,545250,201.2755,0.0,20.0813,26.34036,65.38886,55.44409,2.72179,31.2991,0.0
11248,서울특별시,11,구로구,11530,295450,544150,170.40813,1.82217,63.50606,41.70276,34.1865,14.83789,11.90841,2.39082,0.05352
11249,서울특별시,11,구로구,11530,301150,545250,1428.82469,0.65213,163.0334,456.49351,455.18925,249.76716,89.99444,11.08627,2.60853
11250,서울특별시,11,관악구,11620,306750,543250,35.73708,0.0,6.72375,2.638,7.06554,19.24143,0.06836,0.0,0.0
11251,서울특별시,11,구로구,11530,299250,544050,53.02403,0.0,4.47831,21.76504,14.55479,11.41985,0.6717,0.13434,0.0
11252,서울특별시,11,서초구,11650,313350,543350,265.17496,0.0032,47.31008,103.80507,77.75436,21.76797,10.38558,2.07662,2.07208
11253,서울특별시,11,금천구,11545,303350,539350,29.22665,0.0,0.0,9.03619,15.4069,4.78356,0.0,0.0,0.0
11254,서울특별시,11,중구,11140,312750,550750,267.07338,0.0921,54.21669,79.08687,75.49126,39.40626,14.0276,3.82971,0.92289
11255,서울특별시,11,은평구,11380,307450,561950,41.64327,0.0,4.62703,9.25406,23.13515,4.62703,0.0,0.0,0.0
11256,서울특별시,11,영등포구,11560,302550,549450,4.36914,0.0,0.0,1.45638,1.45638,1.45638,0.0,0.0,0.0
11257,서울특별시,11,성동구,11200,314250,551350,41.92436,0.0,3.12023,4.48174,21.84151,12.48088,0.0,0.0,0.0
11258,서울특별시,11,영등포구,11560,303750,544750,67.81649,0.0,5.92502,20.59282,36.87072,2.81777,1.20761,0.40255,0.0
11259,서울특별시,11,금천구,11545,303450,539750,147.09757,0.0,2.97561,36.03049,82.31403,21.15244,4.625,0.0,0.0
11260,서울특별시,11,구로구,11530,301350,545150,272.04942,0.40126,64.46797,103.92448,68.34673,30.76271,3.07627,1.07,0.0
11261,서울특별시,11,은평구,11380,304850,555250,8.97191,0.00225,0.47828,1.37494,3.06546,3.41815,0.49933,0.13168,0.00182
11262,서울특별시,11,광진구,11215,318550,551050,184.61119,0.0,88.49901,48.51288,19.34424,19.34425,8.91081,0.0,0.0
11263,서울특별시,11,서초구,11650,316650,538250,8.21871,0.0,0.59977,2.60034,2.18608,0.40808,2.39971,0.02473,0.0
11264,서울특별시,11,강동구,11740,324950,550650,758.23948,0.8677,163.49166,247.09209,196.85384,114.12095,30.71576,4.75034,0.34714
11265,서울특별시,11,중랑구,11260,320750,556550,167.36996,0.0,21.67468,47.8307,62.18445,27.45728,8.10196,0.12089,0.0
11266,서울특별시,11,동작구,11590,306750,545950,4.50369,0.0,0.0,0.0,4.50369,0.0,0.0,0.0,0.0
11267,서울특별시,11,성북구,11290,314050,556150,51.64325,0.0,5.66902,19.68297,19.86596,6.03497,0.32936,0.06097,0.0
11268,서울특별시,11,관악구,11620,303950,542950,3.8474,0.0,1.9237,1.9237,0.0,0.0,0.0,0.0,0.0
11269,서울특별시,11,양천구,11470,296750,549250,56.58326,0.0,0.0,31.43514,12.57406,12.57406,0.0,0.0,0.0
11270,서울특별시,11,강동구,11740,324650,547350,2.61765,0.0,0.0,0.0,0.0,2.61765,0.0,0.0,0.0
11271,서울특별시,11,성동구,11200,314050,552050,6.95259,0.0,0.60652,2.82326,2.33303,0.60652,0.58326,0.0,0.0
11272,서울특별시,11,도봉구,11320,315550,562250,87.80093,0.0,10.56691,42.15061,9.12221,18.16872,7.79248,0.0,0.0
11273,서울특별시,11,영등포구,11560,302750,547450,286.46192,0.0,39.57927,122.39025,70.23969,34.76583,11.18505,8.30183,0.0
11274,서울특별시,11,중구,11140,309750,550950,951.707,0.59554,254.8065,517.67855,144.15425,26.13507,6.21028,2.10978,0.01703
11275,서울특별시,11,성북구,11290,312950,555550,15.75,0.0,7.875,0.0,7.875,0.0,0.0,0.0,0.0
11276,서울특별시,11,서초구,11650,314550,543250,1245.14378,0.0,307.45282,462.32435,264.1928,142.53684,56.99961,11.63623,0.00113
11277,서울특별시,11,중랑구,11260,319850,553350,15.49999,0.0,2.58333,2.58333,2.58333,5.16667,2.58333,0.0,0.0
11278,서울특별시,11,마포구,11440,303550,551950,37.12653,0.02214,7.04369,14.69736,8.78066,4.80037,1.49588,0.27673,0.0097
11279,서울특별시,11,강서구,11500,294950,553050,38.517,0.0,7.5452,13.5996,15.09041,2.28179,0.0,0.0,0.0
11280,서울특별시,11,강서구,11500,298250,548650,28.22455,0.0,4.30398,5.66354,14.22494,3.76017,0.27192,0.0,0.0
11281,서울특별시,11,강동구,11740,323950,548650,632.88667,0.43678,142.20044,224.69649,137.12296,99.60209,23.46492,5.36299,0.0
11282,서울특별시,11,중랑구,11260,319650,554450,269.26263,0.0,40.59758,68.47697,56.35346,69.29897,27.70191,6.83374,0.0
11283,서울특별시,11,서초구,11650,311350,543050,692.82716,0.0,231.43939,295.33249,97.50901,48.10865,12.50284,3.98415,3.95063
11284,서울특별시,11,양천구,11470,297950,547350,150.09238,0.0,26.84018,32.55752,63.08963,23.16493,4.44012,0.0,0.0
11285,서울특별시,11,노원구,11350,318150,560650,117.0,0.0,29.25,0.0,29.25,58.5,0.0,0.0,0.0
11286,서울특별시,11,종로구,11110,311650,554350,24.78053,0.0,4.21885,17.59028,1.4857,1.4857,0.0,0.0,0.0
11287,서울특별시,11,강남구,11680,314550,544950,6.4456,0.00317,2.03847,2.66396,1.04304,0.48579,0.17306,0.03493,0.00318
11288,서울특별시,11,성북구,11290,313750,556650,4.00569,0.0,0.0,0.0,3.60569,0.4,0.0,0.0,0.0
11289,서울특별시,11,금천구,11545,301850,540750,28.78479,0.0,0.26624,1.94119,14.80832,11.54717,0.22187,0.0,0.0
11290,서울특별시,11,영등포구,11560,303450,546150,8.9796,0.0,2.2449,0.0,2.2449,4.4898,0.0,0.0,0.0
11291,서울특별시,11,서초구,11650,313750,543550,416.03885,0.0,125.22411,202.80984,42.33818,34.58099,11.08573,0.0,0.0
11292,서울특별시,11,노원구,11350,319250,561450,7.06833,0.0,0.62831,2.04195,1.88485,1.72777,0.62836,0.15709,0.0
11293,서울특별시,11,금천구,11545,302750,541750,71.28267,0.0,12.44245,20.10137,21.04236,11.47527,2.87536,3.34586,0.0
11294,서울특별시,11,송파구,11710,319250,545050,122.72428,0.0,9.20625,23.58726,41.53726,35.28101,13.1125,0.0,0.0
11295,서울특별시,11,양천구,11470,297150,545750,10.25997,0.0,0.0,0.0,10.25997,0.0,0.0,0.0,0.0
11296,서울특별시,11,송파구,11710,319250,545250,233.066,0.0,34.52778,78.95285,72.42515,19.37161,21.68387,6.10474,0.0
11297,서울특별시,11,동대문구,11230,315850,554850,9.01874,0.0,1.44585,2.8774,2.41932,1.50314,0.60124,0.17179,0.0
11298,서울특별시,11,서대문구,11410,305650,551350,22.87297,0.0,1.29097,9.51425,1.48957,9.84991,0.62897,0.0993,0.0
11299,서울특별시,11,광진구,11215,317550,548150,32.0,0.0,6.0,20.0,6.0,0.0,0.0,0.0,0.0
11300,서울특별시,11,강북구,11305,313450,559250,42.35385,0.0,0.0,14.11795,14.11796,9.41196,4.70598,0.0,0.0
11301,서울특별시,11,종로구,11110,310650,552550,569.04499,1.6789,134.76138,231.58048,96.53302,55.12935,42.48029,6.84911,0.03246
11302,서울특별시,11,서초구,11650,317750,539350,2.56962,0.0,0.0,1.28481,0.0,1.28481,0.0,0.0,0.0
11303,서울특별시,11,강남구,11680,321250,541850,2.24693,0.0,0.0,0.0,2.24693,0.0,0.0,0.0,0.0
11304,서울특별시,11,서대문구,11410,308350,552650,65.04155,0.0,12.37961,19.28455,13.00256,13.06488,3.82632,3.48363,0.0
11305,서울특별시,11,중구,11140,312850,551750,145.8059,0.0,6.69012,53.20827,64.77436,15.50608,0.0,5.62707,0.0
11306,서울특별시,11,중랑구,11260,320450,556050,46.70525,0.0,8.14916,12.85204,15.56841,7.41926,2.71638,0.0,0.0
11307,서울특별시,11,강동구,11740,327250,550250,97.20162,0.0,7.29014,29.768,37.05809,19.44031,1.21501,1.82254,0.60753
11308,서울특별시,11,양천구,11470,300950,547550,650.62639,0.0,391.85455,110.90222,85.02504,36.9674,18.4837,7.39348,0.0
11309,서울특별시,11,양천구,11470,301450,549650,120.36928,0.0,18.22105,34.23345,30.92055,24.84686,11.04306,1.10431,0.0
11310,서울특별시,11,송파구,11710,324150,544750,133.91555,0.0,29.70307,41.50249,39.77193,15.5123,7.42576,0.0,0.0
11311,서울특별시,11,서초구,11650,316250,539550,0.6585,0.0,0.0,0.32925,0.19755,0.06585,0.0,0.06585,0.0
11312,서울특별시,11,영등포구,11560,305650,547150,854.41906,0.0,176.11495,383.61674,190.06465,62.77364,33.13053,6.97484,1.74371
11313,서울특별시,11,구로구,11530,298350,542950,2.73262,0.0,0.0,0.0,1.36631,1.36631,0.0,0.0,0.0
11314,서울특별시,11,성북구,11290,314450,554450,64.96644,0.84119,11.55707,22.64609,19.40204,6.36126,1.51391,2.60953,0.03535
11315,서울특별시,11,강서구,11500,297750,552150,384.02149,2.00534,52.13869,94.25069,106.2827,98.26138,30.08002,1.00267,0.0
11316,서울특별시,11,노원구,11350,317150,558250,99.49673,0.0,29.54836,18.17689,38.82935,7.80289,5.13924,0.0,0.0
11317,서울특별시,11,성동구,11200,316450,549950,240.92295,0.11026,71.44048,54.18981,58.18291,40.78639,11.01462,2.76466,2.43382
11318,서울특별시,11,강동구,11740,322950,550650,16.35309,0.0,3.7672,7.53443,2.99662,1.36989,0.59933,0.08562,0.0
11319,서울특별시,11,관악구,11620,303550,542950,98.26188,0.0,8.64407,32.1437,36.13539,17.18197,4.15675,0.0,0.0
