,MEGA_NM,MEGA_CD,CTY_CD,CTY_NM,X_AXIS,Y_AXIS,TOTAL,종합전문병,한방병원,치과병원,한의원,조산원,일반병원,요양병원,의원,치과의원,종합병원,소유권
5042,서울특별시,11,1168,강남구,317150,543950,350,0,0,0,75,0,0,0,175,100,0,GIS United INC.
5043,서울특별시,11,1147,양천구,300250,548550,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5044,서울특별시,11,1168,강남구,314850,547150,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5045,서울특별시,11,1165,서초구,314050,544450,200,0,0,0,100,0,0,0,100,0,0,GIS United INC.
5046,서울특별시,11,1168,강남구,315750,547550,175,0,0,0,0,0,0,0,150,25,0,GIS United INC.
5047,서울특별시,11,1120,성동구,314650,551650,150,0,0,0,25,0,0,0,100,25,0,GIS United INC.
5048,서울특별시,11,1114,중구,312650,550550,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5049,서울특별시,11,1129,성북구,313450,555150,100,0,0,0,0,0,0,0,100,0,0,GIS United INC.
5050,서울특별시,11,1165,서초구,312950,544550,75,0,0,0,25,0,0,0,50,0,0,GIS United INC.
5051,서울특별시,11,1114,중구,309950,551450,100,0,0,0,0,0,0,0,50,50,0,GIS United INC.
5052,서울특별시,11,1159,동작구,305650,544650,125,0,0,0,25,0,0,0,75,25,0,GIS United INC.
5053,서울특별시,11,1150,강서구,297250,548950,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5054,서울특별시,11,1144,마포구,307350,549350,300,0,0,0,50,0,0,0,175,75,0,GIS United INC.
5055,서울특별시,11,1162,관악구,305650,543050,100,0,0,0,25,0,0,0,50,25,0,GIS United INC.
5056,서울특별시,11,1138,은평구,305950,556550,25,0,0,0,0,0,0,0,25,0,0,GIS United INC.
5057,서울특별시,11,1168,강남구,314650,545950,100,0,0,0,0,0,0,0,75,25,0,GIS United INC.
