,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HO_CNT,PY_SUM,PR_SUM,PY_10U,PY_10,PY_20,PY_30,PY_40,PY_50O,PR_05U,PR_05,PR_1,PR_2,PR_3,PR_4,PR_5,PR_6,PR_7_O
4929,서울특별시,11,성북구,11290,311950,557950,18,458.0,2178000000.0,0,0,18,0,0,0,0,2,16,0,0,0,0,0,0
4930,서울특별시,11,송파구,11710,323050,542850,26,354.0,3630000000.0,8,15,2,0,1,0,0,8,15,2,0,1,0,0,0
4931,서울특별시,11,양천구,11470,296350,548550,20,279.0,1349000000.0,0,20,0,0,0,0,5,15,0,0,0,0,0,0,0
4932,서울특별시,11,중랑구,11260,318950,553750,13,228.0,1190000000.0,0,7,6,0,0,0,4,2,7,0,0,0,0,0,0
4933,서울특별시,11,강서구,11500,299750,548150,16,250.0,1301000000.0,2,14,0,0,0,0,2,14,0,0,0,0,0,0,0
4934,서울특별시,11,관악구,11620,305250,542850,5,129.0,926000000.0,0,0,4,1,0,0,0,0,4,1,0,0,0,0,0
4935,서울특별시,11,동대문구,11230,318050,551450,6,132.0,910000000.0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0
4936,서울특별시,11,동작구,11590,306250,545650,12,262.0,3855000000.0,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0
4937,서울특별시,11,동작구,11590,309850,542950,6,72.0,587000000.0,0,6,0,0,0,0,0,2,4,0,0,0,0,0,0
4938,서울특별시,11,동작구,11590,310050,543750,10,219.0,1934000000.0,1,1,7,1,0,0,0,1,4,4,1,0,0,0,0
4939,서울특별시,11,성동구,11200,317450,549450,8,173.0,1264000000.0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0
4940,서울특별시,11,광진구,11215,318650,551850,15,182.0,972000000.0,0,15,0,0,0,0,3,12,0,0,0,0,0,0,0
4941,서울특별시,11,성동구,11200,313650,550650,10,166.0,1130000000.0,2,7,1,0,0,0,0,2,8,0,0,0,0,0,0
4942,서울특별시,11,은평구,11380,303750,554950,6,67.0,430000000.0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0
4943,서울특별시,11,강남구,11680,317050,543250,18,910.0,17808000000.0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,16
4944,서울특별시,11,송파구,11710,323550,544650,12,198.0,1162000000.0,0,12,0,0,0,0,0,3,9,0,0,0,0,0,0
4945,서울특별시,11,동대문구,11230,317650,551750,2,50.0,359000000.0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
4946,서울특별시,11,용산구,11170,308450,547550,5,31.0,1056000000.0,5,0,0,0,0,0,0,0,3,1,1,0,0,0,0
4947,서울특별시,11,강동구,11740,323250,547350,37,969.0,8697000000.0,0,0,35,1,1,0,0,0,0,36,0,1,0,0,0
4948,서울특별시,11,서대문구,11410,308250,552150,7,135.0,832000000.0,0,6,1,0,0,0,1,0,6,0,0,0,0,0,0
4949,서울특별시,11,중랑구,11260,319650,553850,27,502.0,3055000000.0,0,18,8,1,0,0,0,2,25,0,0,0,0,0,0
4950,서울특별시,11,광진구,11215,319450,550350,8,156.0,764000000.0,1,2,4,1,0,0,1,2,5,0,0,0,0,0,0
4951,서울특별시,11,서대문구,11410,305650,551650,6,59.0,206000000.0,2,4,0,0,0,0,6,0,0,0,0,0,0,0,0
4952,서울특별시,11,구로구,11530,299150,543750,4,99.0,697000000.0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
4953,서울특별시,11,성동구,11200,313250,549450,12,172.0,971000000.0,0,12,0,0,0,0,1,10,1,0,0,0,0,0,0
4954,서울특별시,11,광진구,11215,317550,548950,10,126.0,1132000000.0,5,3,2,0,0,0,0,6,2,2,0,0,0,0,0
4955,서울특별시,11,종로구,11110,308050,556850,24,840.0,5534000000.0,0,0,18,0,0,6,0,0,18,0,0,0,4,2,0
4956,서울특별시,11,관악구,11620,306250,542750,8,104.0,668000000.0,2,6,0,0,0,0,1,7,0,0,0,0,0,0,0
4957,서울특별시,11,성북구,11290,312750,555950,3,49.0,247000000.0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0
