,구분,대여소번호,대여소명,대여소 주소,거치대수,lat,lon
735,성동구,569,응봉현대아파트 정류소,서울특별시 성동구 독서당로 381,10,325999.3228798773,4157665.4780700435
736,성동구,578,성동세무서 부근,서울특별시 성동구 광나루로 303-1,8,328809.6994432119,4157463.0711980728
737,성동구,579,마장역 4번출구,서울특별시 성동구 마장로 292-1,8,327060.60446327087,4159377.4790919567
738,성동구,580,신금호역 3번출구 뒤,서울특별시 성동구 무수막길 97,6,325118.80425380636,4158217.6061671125
739,성동구,581,용답초등학교,서울특별시 성동구 용답25길 1,13,328145.3329389114,4158889.48318092
740,성동구,582,경일중학교 앞,서울특별시 성동구 성수일로 27,10,327648.727360185,4156920.1744362004
741,성동구,583,청계천 생태교실 앞,서울특별시 성동구 마장로39길 51,20,327512.41375893645,4159675.012459993
742,성동구,585,성수2가1동 공영주차장 인근,서울특별시 성동구 성수동2가 569-3,9,328200.3537854744,4156201.514057069
743,성동구,586,마장동 주민센터,서울특별시 성동구 마장로42길 14,10,327375.6860722415,4159452.619815701
744,성동구,587,KEB하나은행 성수중앙지점,서울특별시 성동구 성수동2가 276-5,10,327968.6745847914,4157162.085903368
745,성동구,589,성수역3번출구,서울특별시 성동구 아차산로 100,8,328320.33354307665,4157015.0485828016
746,성동구,594,중랑물재생센터(서울새활용플라자),서울특별시 성동구 자동차시장길 49,15,328375.1915105579,4158590.8883823096
747,성북구,1302, 한성대입구역6번출구 뒤,서울특별시 성북구 동소문로 1,5,323977.2305016648,4162057.6415760224
748,성북구,1303, 돈암초교 입구,서울특별시 성북구 동소문로13길 38,10,324530.41938944964,4162371.17667322
749,성북구,1304, 만해공원,서울특별시 성북구 성북로 132-1,15,322754.4195307174,4162709.586690866
750,성북구,1305, 성북구청,서울특별시 성북구 보문로 168,10,324872.49477102957,4162101.4010265265
751,성북구,1306, 한성대입구역2번출구,서울특별시 성북구 동소문로 2,10,324011.45256018173,4162021.8352860995
