,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O
7957,서울특별시,11,관악구,11620,305750,542150,265.67,833.96,155.64,130.97,172.08,131.26,124.84,119.17
7958,서울특별시,11,관악구,11620,307050,543650,124.83,507.87,113.24,48.61,85.07,84.03,70.81,106.11
7959,서울특별시,11,관악구,11620,305750,543850,268.45,368.95,83.33,41.78,70.94,63.8,54.21,54.89
7960,서울특별시,11,관악구,11620,305350,543650,24.98,21.36,3.32,3.43,4.87,3.06,2.53,4.15
7961,서울특별시,11,관악구,11620,307250,543250,109.15,257.51,53.31,34.31,52.37,37.73,35.21,44.58
7962,서울특별시,11,관악구,11620,306450,541550,593.25,112.39,7.08,61.06,21.97,6.51,5.69,10.08
7963,서울특별시,11,관악구,11620,305150,542350,137.27,210.8,41.99,31.54,43.23,39.44,24.21,30.39
7964,서울특별시,11,관악구,11620,306750,542450,238.16,196.57,32.08,35.14,36.03,33.56,29.47,30.29
7965,서울특별시,11,관악구,11620,309850,541750,178.23,553.95,68.79,96.11,126.81,60.85,103.89,97.5
7966,서울특별시,11,관악구,11620,308050,543650,314.69,591.47,108.44,83.52,97.96,89.04,86.27,126.24
7967,서울특별시,11,관악구,11620,307750,542050,243.78,520.94,107.09,102.53,116.98,71.72,60.91,61.71
7968,서울특별시,11,관악구,11620,305050,542250,9.31,38.1,8.76,4.48,7.18,6.31,5.91,5.46
7969,서울특별시,11,강북구,11305,314650,556950,66.36,121.44,17.42,21.17,21.8,19.58,20.01,21.46
7970,서울특별시,11,강북구,11305,315750,558650,104.62,342.07,76.85,38.98,62.14,69.69,51.37,43.04
7971,서울특별시,11,강북구,11305,314850,560150,325.05,356.13,68.59,57.86,74.78,54.13,40.94,59.83
7972,서울특별시,11,강북구,11305,314750,560350,244.74,834.58,202.75,93.24,148.11,158.88,120.37,111.23
7973,서울특별시,11,강북구,11305,313650,559350,270.75,388.91,85.3,44.4,71.09,68.28,56.84,63.0
7974,서울특별시,11,강북구,11305,313350,559850,146.22,276.99,58.04,34.4,40.91,44.73,47.11,51.8
7975,서울특별시,11,강북구,11305,312450,559950,8.7,31.36,5.49,3.94,5.41,5.76,4.79,5.97
7976,서울특별시,11,강북구,11305,313650,559550,23.52,32.11,6.11,4.32,5.38,5.83,5.01,5.46
7977,서울특별시,11,강북구,11305,313050,561750,79.16,123.36,25.86,14.38,19.74,21.53,19.03,22.82
7978,서울특별시,11,강북구,11305,313050,562450,139.92,333.08,64.21,41.37,58.66,56.72,51.37,60.75
7979,서울특별시,11,강북구,11305,312950,562550,115.74,362.21,65.81,44.91,72.34,53.2,53.37,72.58
7980,서울특별시,11,강북구,11305,313150,562250,86.48,250.45,44.46,33.14,37.3,43.19,45.52,46.84
7981,서울특별시,11,강북구,11305,314850,558550,172.92,615.68,128.68,75.82,108.72,112.7,89.21,100.55
7982,서울특별시,11,강북구,11305,313650,557750,282.0,1021.14,194.45,139.29,158.39,179.1,155.92,193.99
7983,서울특별시,11,강북구,11305,312750,558050,34.0,112.78,29.41,13.57,44.25,15.98,4.62,4.95
7984,서울특별시,11,노원구,11350,316550,560150,26.0,21.36,2.0,2.64,1.76,3.2,5.04,6.72
7985,서울특별시,11,노원구,11350,318750,558450,176.64,254.25,57.75,45.9,31.58,46.68,39.67,32.67
7986,서울특별시,11,노원구,11350,320050,558550,79.33,100.95,30.61,12.77,13.26,24.32,9.7,10.29
