,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,PR_09,PR_10,PR_11
11430,서울특별시,11,관악구,11620,306550,541950,1550000.0,1600000.0,1640000.0
11431,서울특별시,11,관악구,11620,306050,541650,2650000.0,2740000.0,2770000.0
11432,서울특별시,11,관악구,11620,305950,541550,5140000.0,5240000.0,5285000.0
11433,서울특별시,11,관악구,11620,306550,541350,2765000.0,2860000.0,2895000.0
11434,서울특별시,11,관악구,11620,305950,540750,700000.0,720000.0,729000.0
11435,서울특별시,11,관악구,11620,305750,540750,2910000.0,3010000.0,3055000.0
11436,서울특별시,11,관악구,11620,305450,541150,2150000.0,2300000.0,2320000.0
11437,서울특별시,11,관악구,11620,305450,542050,1450000.0,1500000.0,1540000.0
11438,서울특별시,11,관악구,11620,304950,542950,3475000.0,3595000.0,3680000.0
11439,서울특별시,11,관악구,11620,304750,542950,2646666.66667,2740000.0,2776666.66667
11440,서울특별시,11,관악구,11620,304650,543050,2270000.0,2350000.0,2390000.0
11441,서울특별시,11,관악구,11620,304250,543350,2415000.0,2505000.0,2545000.0
11442,서울특별시,11,관악구,11620,304450,543050,3250000.0,3360000.0,3400000.0
11443,서울특별시,11,관악구,11620,304150,542850,5450000.0,5560000.0,5590000.0
11444,서울특별시,11,관악구,11620,303750,542950,3020000.0,3130000.0,3170000.0
11445,서울특별시,11,관악구,11620,304750,542250,1600000.0,1660000.0,1700000.0
11446,서울특별시,11,관악구,11620,304850,541850,1710000.0,1770000.0,1810000.0
11447,서울특별시,11,관악구,11620,305050,541850,1600000.0,1610000.0,1650000.0
11448,서울특별시,11,관악구,11620,304550,541850,4510000.0,4630000.0,4650000.0
11449,서울특별시,11,관악구,11620,304750,541550,1913333.33333,1983333.33333,2023333.33333
11450,서울특별시,11,관악구,11620,304650,541550,6290000.0,6450000.0,6450000.0
11451,서울특별시,11,관악구,11620,305050,541450,1470000.0,1540000.0,1580000.0
11452,서울특별시,11,관악구,11620,304850,541150,1720000.0,1780000.0,1820000.0
11453,서울특별시,11,관악구,11620,304750,541250,1830000.0,1900000.0,1960000.0
11454,서울특별시,11,관악구,11620,304650,540850,6040000.0,6200000.0,6240000.0
11455,서울특별시,11,관악구,11620,304550,541750,2700000.0,2785000.0,2825000.0
11456,서울특별시,11,관악구,11620,304250,541950,2210000.0,2290000.0,2325000.0
11457,서울특별시,11,관악구,11620,305350,543550,2560000.0,2650000.0,2680000.0
11458,서울특별시,11,관악구,11620,305350,543250,3520000.0,3650000.0,3690000.0
11459,서울특별시,11,관악구,11620,305250,543250,2560000.0,2650000.0,2700000.0
11460,서울특별시,11,관악구,11620,304050,542650,4073333.33333,4170000.0,4220000.0
11461,서울특별시,11,관악구,11620,304250,542350,4660000.0,4733333.33333,4760000.0
11462,서울특별시,11,관악구,11620,303950,542550,2230000.0,2310000.0,2350000.0
11463,서울특별시,11,관악구,11620,304050,542450,2130000.0,2205000.0,2245000.0
