,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,BANK_NM
224,서울특별시,11,중구,11140,309719,551803,신한은행
225,서울특별시,11,중구,11140,311855,551129,신한은행
226,서울특별시,11,중구,11140,312859,552260,신한은행
227,서울특별시,11,중구,11140,310504,551791,신한은행
228,서울특별시,11,중구,11140,310504,551791,신한은행
229,서울특별시,11,중구,11140,310585,551510,신한은행
230,서울특별시,11,중구,11140,310233,552298,신한은행
231,서울특별시,11,중구,11140,309136,551759,신한은행
232,서울특별시,11,중구,11140,309468,551628,신한은행
233,서울특별시,11,중구,11140,310032,551973,신한은행
234,서울특별시,11,중구,11140,309895,552285,신한은행
235,서울특별시,11,중구,11140,310169,551873,신한은행
236,서울특별시,11,중구,11140,310120,551710,신한은행
237,서울특별시,11,중구,11140,309907,551742,신한은행
238,서울특별시,11,중구,11140,313217,551611,신한은행
239,서울특별시,11,중구,11140,313565,551968,신한은행
240,서울특별시,11,중구,11140,309790,552345,신한은행
241,서울특별시,11,중구,11140,309790,552345,신한은행
242,서울특별시,11,중구,11140,309620,551474,신한은행
243,서울특별시,11,중구,11140,309620,551474,신한은행
244,서울특별시,11,중구,11140,311000,551837,신한은행
245,서울특별시,11,중구,11140,312014,552118,신한은행
246,서울특별시,11,중구,11140,311169,552231,신한은행
247,서울특별시,11,중구,11140,311061,551522,신한은행
248,서울특별시,11,중구,11140,311476,551482,신한은행
249,서울특별시,11,중구,11140,312153,551533,신한은행
250,서울특별시,11,중구,11140,309895,552285,신한은행
251,서울특별시,11,중구,11140,313099,552262,신한은행
252,서울특별시,11,중구,11140,309535,551037,외환은행
253,서울특별시,11,중구,11140,310558,551810,외환은행
254,서울특별시,11,중구,11140,309515,551648,외환은행
255,서울특별시,11,중구,11140,309830,551572,외환은행
256,서울특별시,11,중구,11140,312711,550754,외환은행
257,서울특별시,11,중구,11140,310534,551953,외환은행
258,서울특별시,11,중구,11140,310534,551953,외환은행
259,서울특별시,11,중구,11140,310913,552158,외환은행
260,서울특별시,11,중구,11140,310303,551455,외환은행
261,서울특별시,11,중구,11140,309764,551507,외환은행
262,서울특별시,11,중구,11140,312274,551787,외환은행
263,서울특별시,11,중구,11140,309608,550675,우리은행
264,서울특별시,11,중구,11140,310806,551684,우리은행
265,서울특별시,11,중구,11140,312362,551802,우리은행
266,서울특별시,11,중구,11140,309943,551385,우리은행
267,서울특별시,11,중구,11140,310878,551221,우리은행
268,서울특별시,11,중구,11140,309704,550752,우리은행
269,서울특별시,11,중구,11140,314047,551777,우리은행
270,서울특별시,11,중구,11140,311220,551393,우리은행
271,서울특별시,11,중구,11140,310652,551566,우리은행
272,서울특별시,11,중구,11140,310501,551750,우리은행
273,서울특별시,11,중구,11140,309977,552220,우리은행
274,서울특별시,11,중구,11140,310216,551271,우리은행
275,서울특별시,11,중구,11140,309451,551283,우리은행
276,서울특별시,11,중구,11140,309640,551525,우리은행
277,서울특별시,11,중구,11140,310672,552166,우리은행
278,서울특별시,11,중구,11140,309437,551692,우리은행
279,서울특별시,11,중구,11140,309531,550853,우리은행
280,서울특별시,11,중구,11140,309141,550950,우리은행
281,서울특별시,11,중구,11140,311472,551871,우리은행
282,서울특별시,11,중구,11140,310217,551685,우리은행
283,서울특별시,11,중구,11140,313401,551960,우리은행
284,서울특별시,11,중구,11140,312710,550566,우리은행
285,서울특별시,11,중구,11140,309535,551037,우리은행
286,서울특별시,11,중구,11140,312031,551970,우리은행
287,서울특별시,11,중구,11140,311168,552079,우리은행
288,서울특별시,11,중구,11140,312213,551304,우리은행
289,서울특별시,11,중구,11140,312457,551573,우리은행
290,서울특별시,11,중구,11140,310384,552204,우리은행
291,서울특별시,11,중구,11140,311650,551755,우리은행
292,서울특별시,11,중구,11140,311001,551804,우리은행
293,서울특별시,11,중구,11140,313845,552511,우리은행
294,서울특별시,11,중구,11140,312993,551259,우리은행
295,서울특별시,11,중구,11140,308954,551385,우리은행
296,서울특별시,11,중구,11140,309895,552285,전북은행
297,서울특별시,11,중구,11140,310504,551791,제주은행
298,서울특별시,11,중구,11140,309676,551192,하나은행
299,서울특별시,11,중구,11140,312629,552297,하나은행
300,서울특별시,11,중구,11140,310339,551773,하나은행
301,서울특별시,11,중구,11140,309984,552328,하나은행
302,서울특별시,11,중구,11140,309538,551423,하나은행
303,서울특별시,11,중구,11140,309506,551739,하나은행
304,서울특별시,11,중구,11140,309993,551887,하나은행
305,서울특별시,11,중구,11140,313757,551896,하나은행
306,서울특별시,11,중구,11140,312851,550820,하나은행
307,서울특별시,11,중구,11140,310446,552066,하나은행
308,서울특별시,11,중구,11140,310266,552060,하나은행
309,서울특별시,11,중구,11140,310446,552066,하나은행
310,서울특별시,11,중구,11140,310446,552066,하나은행
311,서울특별시,11,중구,11140,310446,552066,하나은행
312,서울특별시,11,중구,11140,310918,552124,하나은행
313,서울특별시,11,중구,11140,312437,552046,하나은행
314,서울특별시,11,중구,11140,311554,552090,하나은행
315,서울특별시,11,중구,11140,312455,551528,하나은행
316,서울특별시,11,중구,11140,310266,552060,하나은행
317,서울특별시,11,중구,11140,309293,551533,하나은행
318,서울특별시,11,중구,11140,310977,551427,하나은행
319,서울특별시,11,중구,11140,309958,551181,하나은행
320,서울특별시,11,중구,11140,310106,552300,한국씨티
321,서울특별시,11,중구,11140,310106,552300,한국씨티
322,서울특별시,11,중구,11140,310378,551980,한국씨티
323,서울특별시,11,중구,11140,310106,552300,한국씨티
324,서울특별시,11,중구,11140,312033,552020,한국씨티
325,서울특별시,11,중구,11140,310106,552300,한국씨티
326,서울특별시,11,중구,11140,309764,551507,한국씨티
327,서울특별시,11,용산구,11170,308914,547052,IBK기업은행
328,서울특별시,11,용산구,11170,311756,547794,IBK기업은행
329,서울특별시,11,용산구,11170,309472,549357,IBK기업은행
330,서울특별시,11,용산구,11170,310720,549487,IBK기업은행
331,서울특별시,11,용산구,11170,308777,548359,IBK기업은행
332,서울특별시,11,용산구,11170,310758,548987,IBK기업은행
333,서울특별시,11,용산구,11170,308196,548495,IBK기업은행
334,서울특별시,11,용산구,11170,311260,548475,IBK기업은행
335,서울특별시,11,용산구,11170,311260,548475,IBK기업은행
336,서울특별시,11,용산구,11170,309325,549666,KB국민은행
337,서울특별시,11,용산구,11170,309135,547018,KB국민은행
338,서울특별시,11,용산구,11170,308356,548412,KB국민은행
339,서울특별시,11,용산구,11170,309200,547358,KB국민은행
340,서울특별시,11,용산구,11170,308178,548459,KB국민은행
341,서울특별시,11,용산구,11170,310701,548859,KB국민은행
342,서울특별시,11,용산구,11170,309135,547018,KB국민은행
343,서울특별시,11,용산구,11170,309774,546765,KB국민은행
344,서울특별시,11,용산구,11170,311339,548485,KB국민은행
345,서울특별시,11,용산구,11170,308998,548032,KB국민은행
346,서울특별시,11,용산구,11170,312314,548381,KB국민은행
347,서울특별시,11,용산구,11170,308495,549333,KB국민은행
348,서울특별시,11,용산구,11170,309498,550628,SC제일은행
349,서울특별시,11,용산구,11170,309498,550628,SC제일은행
350,서울특별시,11,용산구,11170,308980,547834,SC제일은행
351,서울특별시,11,용산구,11170,308231,548442,SC제일은행
352,서울특별시,11,용산구,11170,309225,547412,SC제일은행
353,서울특별시,11,용산구,11170,309334,547059,SC제일은행
354,서울특별시,11,용산구,11170,310947,548521,SC제일은행
355,서울특별시,11,용산구,11170,309854,550240,SC제일은행
356,서울특별시,11,용산구,11170,310249,547187,농협중앙회
357,서울특별시,11,용산구,11170,309397,549635,농협중앙회
358,서울특별시,11,용산구,11170,309165,547021,농협중앙회
359,서울특별시,11,용산구,11170,310179,549452,농협중앙회
360,서울특별시,11,용산구,11170,311806,547725,농협중앙회
361,서울특별시,11,용산구,11170,308966,548056,농협중앙회
362,서울특별시,11,용산구,11170,308695,548388,농협중앙회
363,서울특별시,11,용산구,11170,309044,549163,농협중앙회
364,서울특별시,11,용산구,11170,308592,547519,농협중앙회
365,서울특별시,11,용산구,11170,312394,548449,농협중앙회
366,서울특별시,11,용산구,11170,309984,546740,신한은행
367,서울특별시,11,용산구,11170,308825,549624,신한은행
368,서울특별시,11,용산구,11170,309229,548205,신한은행
369,서울특별시,11,용산구,11170,309075,547489,신한은행
370,서울특별시,11,용산구,11170,308607,548371,신한은행
371,서울특별시,11,용산구,11170,309283,547347,신한은행
372,서울특별시,11,용산구,11170,307538,548262,신한은행
373,서울특별시,11,용산구,11170,308507,548715,신한은행
374,서울특별시,11,용산구,11170,310701,548859,신한은행
375,서울특별시,11,용산구,11170,309491,546883,신한은행
376,서울특별시,11,용산구,11170,311249,548549,신한은행
377,서울특별시,11,용산구,11170,312409,548439,신한은행
378,서울특별시,11,용산구,11170,309354,549442,외환은행
379,서울특별시,11,용산구,11170,309175,546996,외환은행
380,서울특별시,11,용산구,11170,310928,548521,외환은행
381,서울특별시,11,용산구,11170,311344,548015,외환은행
382,서울특별시,11,용산구,11170,312587,548422,외환은행
383,서울특별시,11,용산구,11170,309843,548422,우리은행
384,서울특별시,11,용산구,11170,309091,547025,우리은행
385,서울특별시,11,용산구,11170,309388,550208,우리은행
386,서울특별시,11,용산구,11170,310489,546601,우리은행
387,서울특별시,11,용산구,11170,310920,548290,우리은행
388,서울특별시,11,용산구,11170,309075,547489,우리은행
389,서울특별시,11,용산구,11170,308625,547993,우리은행
390,서울특별시,11,용산구,11170,308254,548347,우리은행
391,서울특별시,11,용산구,11170,309474,548524,우리은행
392,서울특별시,11,용산구,11170,309407,548773,우리은행
393,서울특별시,11,용산구,11170,308774,548997,우리은행
394,서울특별시,11,용산구,11170,309123,550285,우리은행
395,서울특별시,11,용산구,11170,309018,547940,우리은행
396,서울특별시,11,용산구,11170,311790,548714,우리은행
397,서울특별시,11,용산구,11170,312654,548487,우리은행
398,서울특별시,11,용산구,11170,310190,549885,우리은행
399,서울특별시,11,용산구,11170,308980,547834,하나은행
400,서울특별시,11,용산구,11170,310126,546701,하나은행
401,서울특별시,11,용산구,11170,310506,546604,하나은행
402,서울특별시,11,용산구,11170,309070,547454,하나은행
403,서울특별시,11,용산구,11170,309399,549661,하나은행
404,서울특별시,11,용산구,11170,308625,547993,하나은행
405,서울특별시,11,용산구,11170,308580,548439,하나은행
406,서울특별시,11,용산구,11170,307943,548247,하나은행
407,서울특별시,11,용산구,11170,309157,546974,하나은행
408,서울특별시,11,용산구,11170,309789,546759,하나은행
409,서울특별시,11,용산구,11170,311634,548567,하나은행
410,서울특별시,11,용산구,11170,309202,549369,하나은행
411,서울특별시,11,용산구,11170,312688,548509,하나은행
412,서울특별시,11,용산구,11170,312433,548373,하나은행
