,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,TOTAL,X_AXIS,Y_AXIS
82,서울특별시,11,서초구,11650,4,315650,542150
83,서울특별시,11,중구,11140,1,312650,552250
84,서울특별시,11,강남구,11680,1,314450,546250
85,서울특별시,11,영등포구,11560,2,302350,548950
86,서울특별시,11,중구,11140,1,310150,551850
87,서울특별시,11,서초구,11650,1,313850,544150
88,서울특별시,11,강서구,11500,2,299850,551150
89,서울특별시,11,동작구,11590,2,305050,543850
90,서울특별시,11,종로구,11110,1,310350,552850
91,서울특별시,11,강남구,11680,1,314950,546950
92,서울특별시,11,서초구,11650,2,314050,544250
93,서울특별시,11,송파구,11710,3,320850,546250
94,서울특별시,11,강남구,11680,2,314150,546750
95,서울특별시,11,강남구,11680,2,316150,545050
96,서울특별시,11,구로구,11530,1,302250,545450
97,서울특별시,11,구로구,11530,1,296650,544850
98,서울특별시,11,송파구,11710,1,321150,546450
99,서울특별시,11,강남구,11680,1,317350,545350
100,서울특별시,11,송파구,11710,2,321250,545050
101,서울특별시,11,관악구,11620,1,306650,543250
102,서울특별시,11,중구,11140,1,309650,551450
103,서울특별시,11,중구,11140,1,309050,551350
104,서울특별시,11,영등포구,11560,1,304450,547850
105,서울특별시,11,서초구,11650,1,310650,541250
106,서울특별시,11,강남구,11680,1,317050,546550
107,서울특별시,11,강남구,11680,1,316150,545250
108,서울특별시,11,강남구,11680,1,317650,544850
109,서울특별시,11,중구,11140,1,310550,552050
110,서울특별시,11,강남구,11680,1,317750,544750
111,서울특별시,11,강남구,11680,1,314450,544550
112,서울특별시,11,금천구,11545,1,301250,542350
113,서울특별시,11,구로구,11530,3,302650,542950
114,서울특별시,11,금천구,11545,2,301650,542150
115,서울특별시,11,강동구,11740,1,323250,548650
116,서울특별시,11,성동구,11200,1,316950,551350
117,서울특별시,11,강남구,11680,1,313850,545450
118,서울특별시,11,강남구,11680,1,316550,545350
119,서울특별시,11,강남구,11680,1,314550,545350
120,서울특별시,11,용산구,11170,1,311550,547250
121,서울특별시,11,마포구,11440,1,304650,550650
122,서울특별시,11,강남구,11680,1,317750,544550
123,서울특별시,11,강동구,11740,1,322650,547750
124,서울특별시,11,마포구,11440,1,302250,553250
125,서울특별시,11,서초구,11650,1,314850,540850
126,서울특별시,11,성동구,11200,1,317450,549750
127,서울특별시,11,용산구,11170,1,308150,548650
128,서울특별시,11,강남구,11680,1,314050,546750
129,서울특별시,11,동작구,11590,1,305050,543950
130,서울특별시,11,서초구,11650,1,313450,544150
131,서울특별시,11,강서구,11500,1,299050,551150
132,서울특별시,11,강서구,11500,1,298050,549850
133,서울특별시,11,중구,11140,1,312250,551350
134,서울특별시,11,강남구,11680,1,317150,545450
135,서울특별시,11,강남구,11680,1,316850,547050
136,서울특별시,11,강남구,11680,1,314650,544550
137,서울특별시,11,중구,11140,1,311150,551650
138,서울특별시,11,강남구,11680,1,317150,546150
139,서울특별시,11,서초구,11650,1,313650,542750
140,서울특별시,11,강남구,11680,1,316750,546950
141,서울특별시,11,강동구,11740,1,322950,548950
142,서울특별시,11,서초구,11650,1,315950,541650
143,서울특별시,11,강남구,11680,1,320950,543150
144,서울특별시,11,서초구,11650,1,314350,543050
145,서울특별시,11,강남구,11680,3,315450,546550
146,서울특별시,11,강남구,11680,1,314450,543950
147,서울특별시,11,금천구,11545,1,301750,541550
148,서울특별시,11,서초구,11650,1,310350,542150
149,서울특별시,11,종로구,11110,1,310050,552850
150,서울특별시,11,중구,11140,2,309450,551550
151,서울특별시,11,금천구,11545,3,301550,542550
152,서울특별시,11,종로구,11110,1,310450,552950
153,서울특별시,11,영등포구,11560,3,305550,547250
154,서울특별시,11,광진구,11215,1,318550,551050
155,서울특별시,11,강남구,11680,1,318450,544550
156,서울특별시,11,도봉구,11320,1,315650,563050
157,서울특별시,11,금천구,11545,2,301650,542550
158,서울특별시,11,중구,11140,1,309750,552350
159,서울특별시,11,서초구,11650,1,312850,543850
160,서울특별시,11,송파구,11710,2,322550,544050
161,서울특별시,11,종로구,11110,2,310250,552450
162,서울특별시,11,중구,11140,1,312350,551850
163,서울특별시,11,성동구,11200,1,317150,548650
164,서울특별시,11,서초구,11650,1,314250,544050
165,서울특별시,11,중구,11140,2,309650,551550
166,서울특별시,11,성북구,11290,1,314950,556650
167,서울특별시,11,강남구,11680,2,315550,544950
168,서울특별시,11,금천구,11545,1,302450,542150
169,서울특별시,11,중구,11140,1,311450,551450
170,서울특별시,11,서초구,11650,1,313650,543150
171,서울특별시,11,강남구,11680,1,315250,543650
172,서울특별시,11,강남구,11680,2,315650,547650
173,서울특별시,11,마포구,11440,4,302250,553450
174,서울특별시,11,송파구,11710,1,323650,545350
175,서울특별시,11,금천구,11545,1,301150,543050
176,서울특별시,11,서초구,11650,1,313950,544750
177,서울특별시,11,중구,11140,1,309750,550950
178,서울특별시,11,서대문구,11410,1,309050,551650
179,서울특별시,11,중구,11140,1,309650,550650
180,서울특별시,11,영등포구,11560,1,305150,547350
181,서울특별시,11,강남구,11680,1,315350,545350
182,서울특별시,11,강남구,11680,1,317450,545850
183,서울특별시,11,영등포구,11560,1,305650,547150
184,서울특별시,11,서초구,11650,1,312350,543650
185,서울특별시,11,영등포구,11560,2,302550,546450
186,서울특별시,11,금천구,11545,1,302150,541450
187,서울특별시,11,서초구,11650,1,312650,543750
188,서울특별시,11,서초구,11650,1,312550,543550
189,서울특별시,11,서초구,11650,1,313950,544850
190,서울특별시,11,서초구,11650,1,315050,542150
191,서울특별시,11,용산구,11170,1,308850,548550
192,서울특별시,11,서초구,11650,1,313550,545050
193,서울특별시,11,마포구,11440,1,305150,551050
194,서울특별시,11,서초구,11650,1,312550,542850
195,서울특별시,11,중구,11140,1,310350,551850
196,서울특별시,11,마포구,11440,1,304550,550950
197,서울특별시,11,강남구,11680,2,316650,545350
198,서울특별시,11,금천구,11545,1,301650,541850
199,서울특별시,11,영등포구,11560,1,302550,548050
200,서울특별시,11,서초구,11650,1,311650,544550
201,서울특별시,11,성동구,11200,1,315750,549250
202,서울특별시,11,종로구,11110,1,310450,552650
203,서울특별시,11,강남구,11680,1,317450,543950
204,서울특별시,11,서초구,11650,1,313350,542850
205,서울특별시,11,중구,11140,1,310550,551950
206,서울특별시,11,강남구,11680,1,314750,544650
207,서울특별시,11,강남구,11680,1,316350,546650
208,서울특별시,11,성동구,11200,1,316250,549650
209,서울특별시,11,금천구,11545,1,301650,541050
210,서울특별시,11,강남구,11680,1,317350,545550
