,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,X_AXIS,Y_AXIS,HOUS,POP,CLSS
22927,서울특별시,11,동작구,11590,308450,544150,2.33,9.29,3
22928,서울특별시,11,송파구,11710,322450,546150,37.0,132.38,5
22929,서울특별시,11,동대문구,11230,318250,551550,5.28,5.32,5
22930,서울특별시,11,서초구,11650,311250,544950,44.0,135.91,10
22931,서울특별시,11,강동구,11740,322750,550150,90.63,327.32,4
22932,서울특별시,11,노원구,11350,318250,559550,9.15,16.02,5
22933,서울특별시,11,송파구,11710,325450,544450,119.0,426.47,5
22934,서울특별시,11,강남구,11680,316550,547150,54.44,132.95,10
22935,서울특별시,11,은평구,11380,304450,554350,134.17,161.64,4
22936,서울특별시,11,광진구,11215,320550,550150,6.48,5.33,7
22937,서울특별시,11,노원구,11350,319950,558450,55.0,164.44,7
22938,서울특별시,11,은평구,11380,304750,556650,135.72,234.03,3
22939,서울특별시,11,광진구,11215,319850,551250,168.92,240.4,4
22940,서울특별시,11,중구,11140,312450,549750,180.0,409.63,6
22941,서울특별시,11,구로구,11530,295650,544550,27.0,85.83,3
22942,서울특별시,11,중랑구,11260,320250,554550,83.13,90.64,3
22943,서울특별시,11,송파구,11710,322650,545450,276.0,958.22,6
22944,서울특별시,11,양천구,11470,300150,547150,160.0,519.45,6
22945,서울특별시,11,금천구,11545,302950,541050,85.87,125.12,4
22946,서울특별시,11,종로구,11110,309450,553650,35.0,86.38,5
22947,서울특별시,11,강북구,11305,313250,559150,203.01,500.01,2
22948,서울특별시,11,마포구,11440,308150,550350,161.36,263.85,4
22949,서울특별시,11,강남구,11680,317650,545550,14.61,16.02,4
22950,서울특별시,11,노원구,11350,319050,558150,282.12,304.4,3
22951,서울특별시,11,은평구,11380,303850,554350,247.21,493.98,4
22952,서울특별시,11,강서구,11500,297350,549450,239.7,372.92,4
22953,서울특별시,11,관악구,11620,306350,542850,109.54,170.18,4
22954,서울특별시,11,성북구,11290,314450,554550,87.35,64.13,4
22955,서울특별시,11,구로구,11530,302350,543950,145.51,179.54,3
22956,서울특별시,11,서대문구,11410,304750,553750,189.2,580.91,5
22957,서울특별시,11,강동구,11740,324350,547150,120.0,471.13,7
22958,서울특별시,11,노원구,11350,317850,560350,322.0,948.18,4
22959,서울특별시,11,중랑구,11260,319350,557450,216.0,947.9,4
22960,서울특별시,11,서초구,11650,311850,541950,55.0,165.24,9
22961,서울특별시,11,양천구,11470,298650,547750,59.83,125.53,4
22962,서울특별시,11,관악구,11620,304750,541750,182.64,387.57,3
22963,서울특별시,11,강남구,11680,315350,547050,114.0,324.64,6
22964,서울특별시,11,종로구,11110,310250,553850,58.06,136.67,3
22965,서울특별시,11,동작구,11590,305150,544350,272.56,760.78,5
22966,서울특별시,11,용산구,11170,311150,549150,130.3,256.58,4
22967,서울특별시,11,종로구,11110,311650,554350,217.12,385.88,4
22968,서울특별시,11,강북구,11305,314450,560350,129.07,165.75,3
22969,서울특별시,11,노원구,11350,317550,560450,250.0,736.11,4
22970,서울특별시,11,송파구,11710,322150,544350,59.0,219.79,7
22971,서울특별시,11,서대문구,11410,307450,556150,178.37,431.75,3
22972,서울특별시,11,서대문구,11410,306350,551350,9.35,5.32,2
22973,서울특별시,11,도봉구,11320,315350,563450,193.16,399.81,3
22974,서울특별시,11,송파구,11710,322850,545150,196.0,692.92,8
22975,서울특별시,11,노원구,11350,316550,564450,23.05,66.55,10
22976,서울특별시,11,도봉구,11320,313250,562150,28.0,96.9,5
22977,서울특별시,11,도봉구,11320,314050,561250,167.96,493.25,4
22978,서울특별시,11,동작구,11590,310150,543150,20.97,26.74,5
22979,서울특별시,11,광진구,11215,319550,550050,90.56,176.09,4
22980,서울특별시,11,강서구,11500,295050,553150,71.52,182.14,5
22981,서울특별시,11,광진구,11215,318950,548850,273.62,569.09,4
22982,서울특별시,11,서대문구,11410,306350,553350,30.0,102.54,3
22983,서울특별시,11,종로구,11110,311150,552450,4.11,9.75,4
22984,서울특별시,11,은평구,11380,304450,558150,147.36,300.97,4
22985,서울특별시,11,영등포구,11560,303450,546150,241.6,740.45,5
22986,서울특별시,11,광진구,11215,319050,551550,74.61,80.17,3
22987,서울특별시,11,강북구,11305,313150,559850,214.2,325.13,2
22988,서울특별시,11,성북구,11290,316050,557850,61.69,120.56,2
22989,서울특별시,11,동작구,11590,309550,542550,205.08,286.21,4
22990,서울특별시,11,서초구,11650,314350,542150,150.0,455.9,6
22991,서울특별시,11,중랑구,11260,320450,555350,244.91,310.11,3
22992,서울특별시,11,양천구,11470,297750,546850,87.0,307.72,3
22993,서울특별시,11,광진구,11215,318950,552550,28.08,31.99,4
22994,서울특별시,11,양천구,11470,299850,548950,198.98,482.05,4
22995,서울특별시,11,도봉구,11320,314450,562350,120.0,415.54,6
22996,서울특별시,11,동작구,11590,306250,544550,220.02,376.59,4
22997,서울특별시,11,도봉구,11320,314650,560550,58.5,63.76,4
22998,서울특별시,11,서초구,11650,313550,543150,27.89,58.45,9
22999,서울특별시,11,동대문구,11230,317050,553250,33.1,60.67,3
23000,서울특별시,11,노원구,11350,318550,562250,170.11,335.61,4
23001,서울특별시,11,도봉구,11320,315950,565350,196.8,598.77,3
23002,서울특별시,11,강서구,11500,300450,550350,205.3,572.44,5
23003,서울특별시,11,동대문구,11230,316850,555050,54.56,65.08,4
23004,서울특별시,11,중랑구,11260,320650,554850,173.49,128.31,3
23005,서울특별시,11,강북구,11305,313150,561150,82.0,148.19,3
23006,서울특별시,11,용산구,11170,312950,548450,25.43,64.71,7
23007,서울특별시,11,관악구,11620,305050,543250,122.61,85.68,3
23008,서울특별시,11,은평구,11380,303250,553750,150.96,441.93,3
23009,서울특별시,11,광진구,11215,319850,549350,143.6,405.93,4
23010,서울특별시,11,종로구,11110,312650,552750,52.38,115.03,2
23011,서울특별시,11,강남구,11680,316150,543750,84.0,245.48,10
23012,서울특별시,11,양천구,11470,297450,547950,259.63,423.26,3
23013,서울특별시,11,은평구,11380,303850,556750,189.08,586.67,4
23014,서울특별시,11,중랑구,11260,320250,554150,9.73,19.46,4
23015,서울특별시,11,양천구,11470,301250,549650,41.26,87.98,5
